,Location,ad_id,ad_link,energy_label,lat,local_area_name,lon,property_type_description,size_from,type,byggear_cat,ownership_cat,"lat,lon"
0,"Olsvikåsen 132, Olsvik",261320756,https://www.finn.no/realestate/homes/ad.html?finnkode=261320756,5,60.38086,Bergen Vest/Olsvik,5.22157,Leilighet,47.0,realestate,1,2,"60.38086,5.22157"
1,"Hans Haslums Vei 33, Bekkestua",261047389,https://www.finn.no/realestate/homes/ad.html?finnkode=261047389,5,59.9196,DESIGNBOLIG PÅ BEKKESTUA,10.5728,Enebolig,359.0,realestate,1,1,"59.9196,10.5728"
2,"Oskarbakken 21, Mo i Rana",260995104,https://www.finn.no/realestate/homes/ad.html?finnkode=260995104,5,66.2902,Åga,14.0935,Enebolig,153.0,realestate,1,1,"66.2902,14.0935"
3,"Sandalssvingen 7, Stavanger",260891920,https://www.finn.no/realestate/homes/ad.html?finnkode=260891920,5,58.9574,SANDAL,5.6838,Leilighet,47.0,realestate,1,2,"58.9574,5.6838"
4,"Midtåstunet 8, Førde",260886553,https://www.finn.no/realestate/homes/ad.html?finnkode=260886553,5,61.45764,,5.9009,Rekkehus,99.0,realestate,1,2,"61.45764,5.9009"
5,"Ragveien 52, Hafrsfjord",260786526,https://www.finn.no/realestate/homes/ad.html?finnkode=260786526,5,58.9537,Madla/Slåtthaug,5.6602,Enebolig,181.0,realestate,1,1,"58.9537,5.6602"
6,"Lillehatten 363, Fyllingsdalen",260655876,https://www.finn.no/realestate/homes/ad.html?finnkode=260655876,5,60.3406,,5.2959,Tomannsbolig,106.0,realestate,1,2,"60.3406,5.2959"
7,"Ole Reistads vei 7, Oslo",260652751,https://www.finn.no/realestate/homes/ad.html?finnkode=260652751,5,59.92725,LINDEBERG - MED MARKA SOM NÆRMESTE NABO,10.878,Leilighet,83.0,realestate,1,2,"59.92725,10.878"
8,"Noltens vei 2, Kongsberg",260524104,https://www.finn.no/realestate/homes/ad.html?finnkode=260524104,5,59.6593,Gamlegrendåsen,9.6719,Enebolig,195.0,realestate,1,1,"59.6593,9.6719"
9,"Beles vei 39, Tolvsrød",260297176,https://www.finn.no/realestate/homes/ad.html?finnkode=260297176,5,59.28066,Tønsberg/Sandeåsen,10.44911,Leilighet,62.0,realestate,1,2,"59.28066,10.44911"
10,"Østregate 122, Hamar",259731967,https://www.finn.no/realestate/homes/ad.html?finnkode=259731967,5,60.7922,,11.0876,Leilighet,50.0,realestate,1,2,"60.7922,11.0876"
11,"Sportsveien 6, Larvik",251008791,https://www.finn.no/realestate/homes/ad.html?finnkode=251008791,5,59.0684,,10.04079,Enebolig,176.0,realestate,1,1,"59.0684,10.04079"
12,"Thora Storms vei 7B, Trondheim",259484700,https://www.finn.no/realestate/homes/ad.html?finnkode=259484700,5,63.41902,Utsikten,10.37106,Tomannsbolig,209.0,realestate,1,1,"63.41902,10.37106"
13,"Strandgata 290, Havøysund",250745572,https://www.finn.no/realestate/homes/ad.html?finnkode=250745572,5,70.99573,,24.63012,Enebolig,140.0,realestate,1,1,"70.99573,24.63012"
14,"Hestheia 2, Lillesand",259132579,https://www.finn.no/realestate/homes/ad.html?finnkode=259132579,5,58.244,,8.3577,Enebolig,179.0,realestate,1,1,"58.244,8.3577"
15,"Fastlandsveien 2, Kjeldebotn",250783746,https://www.finn.no/realestate/homes/ad.html?finnkode=250783746,5,68.40448,,16.66794,Enebolig,144.0,realestate,1,1,"68.40448,16.66794"
16,"Fjellveien 34, Myre",258022573,https://www.finn.no/realestate/homes/ad.html?finnkode=258022573,5,68.92148,,15.08132,Enebolig,169.0,realestate,1,1,"68.92148,15.08132"
17,"Øvre Båsrøstvei 65, Koppang",257736872,https://www.finn.no/realestate/homes/ad.html?finnkode=257736872,5,61.5832,,11.0405,Enebolig,148.0,realestate,1,1,"61.5832,11.0405"
18,"Bytningskaret 21, Hidrasund",257921294,https://www.finn.no/realestate/homes/ad.html?finnkode=257921294,5,58.22287,Hidra,6.57615,Enebolig,135.0,realestate,1,1,"58.22287,6.57615"
